site code,biblio code,amal per,presv,samp count,divrs,barley awn,barley lemma bases,barley rachis,culm nodes,f-t wheat rachis,gw glume bases,wheat indet rachis,cereal indet grain,barley grain,f-t wheat grain,gw grain,millet,oat grain,wheat indet gr,wild einkorn,caper,cucumber,date,fig,grape,hazelnut,olive,pear,pistachio,pomegranate,flax/linseed,sesame,bitter vetch,celtic bean,chickpea,common pea,grass pea,lentil,coriander,cumin,wild/weed
chog,"Helbaek, 1972 sam",3,cpr,2,8,,,2,,,1,,,,1,1,,,,,,,,,,,,,1,,1,,,,,,,2,,,2
chog,"Helbaek, 1972 sam",5,cpr,1,5,,,1,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1
dibi,"Jacobsen, 1982",7,imp,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
dhuw,"Stone, unpub",7,cpr ,26,6,,,24,8,,,,19,,,,,,,,12,,24,,,,,,,,,,,,,,,,,,24
eder,"van Zeist, 1984",7,cpr ,6,12,,,1,,,1,,,4,1,1,,,,,,,3,,,,,,1,,,,,,,1,,1,1,1,2
ouel,"Neef, 1991",3,cpr ,5,9,2,,3,,1,5,,,4,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,4
erid,"Gillet, 1976",4,cpr,1,3,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
saww,"Helbaek, 1964",2,cpr,3,6,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,1,,,,,,,,,,3
harm,"Jacobsen, 1982","6,7",cpr,1,2,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
hass,"Jacobsen, 1982","2,3",cpr,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ingh,"Jacobsen, 1982",4,imp,1,2,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
ingh,"Field, 1932",4,cpr,2,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ingh,"Jacobsen, 1982",7,imp,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
isch,"Jacobsen, 1982","6,7",imp,1,2,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
jarm,"Watson, 1983","1,2",cpr,2,5,,,2,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,1,1,,,
jemd,"Jacobsen, 1982",4,imp,3,4,,,,,,,,,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,
jemd,"Field, 1932",4,cpr,,3,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
karr,"Constantini, 1993",4,cpr,14,9,,,,,,8,,,10,4,7,,,7,,,,1,,,,,,,,1,,,,,,,1,,,8
khaf,"Schieman, 1940",4,cpr,1,4,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1
khaf,"Jacobsen, 1982",4,imp,1,2,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
khaf,"Jacobsen, 1982",7,imp,2,4,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,
khaf,"Jacobsen, 1982","6,7",imp,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
madh,"Renfrew, 1984",3,cpr?,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
magh,"Lisicyna, 1983","1,2",cpr,2,7,,,,,,,,,2,1,2,,,2,,,,,,,,,,,,1,,,,,,,2,,,2
mahm,"van Zeist, 1991",10,cpr,4,8,,,1,,,2,,,3,,,,,,,1,,1,,1,,,,,,,,,,,,,3,,,4
mata,Helbaek 1959,2,cpr,1,2,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
mata,Helbaek 1959,2,imp,1,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
mefe,"Jacobsen, 1982",4,cpr,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
mlef,"Nesbitt, 1998","1,2",cpr,1,5,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,1
nemr,"Kozlowski, 1989",1,cpr,1,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1
nimr,"Helbaek, 1966 nimrud",8,cpr,1,3,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1
nimr,"Helbaek, 1966 nimrud",9,cpr,15,16,,,,,,,,,12,8,1,2,,,,1,1,2,1,1,1,1,,,1,2,,,,2,,,6,,,10
nimr,"Jacobsen, 1982",9,imp,2,3,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
nimr,"Helbaek, 1966 nimrud",10,cpr,1,3,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
nine,"Jacobsen, 1982",9,imp,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuff,"Jacobsen, 1982",6,cpr,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
nuff,"Jacobsen, 1982",6,imp,2,2,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
nuff,"Jacobsen, 1982",9,imp,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuff,"Jacobsen, 1982","6,7",imp,1,2,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
qant,"Jacobsen, 1982",11,cpr,1,7,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,1,,1,,1,,,1
qant,"Jacobsen, 1982",11,imp,1,2,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
qerm,"Watkins, 1989",1,cpr,1,5,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,1,,,1
qubu,van Zeist 1991,10,cpr,11,4,,,,,,,1,,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,7
qurt,"Helbaek, 1960 anc","6,7",cpr,1,4,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,1,,,
sala,"Charles, 1989",4,cpr,1,4,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
sala,"Charles, 1989",5,cpr,53,11,,,29,7,,52,,45,52,,30,,,,,,,,11,,,,,,,3,14,,,,,,3,,,53
sala,"Charles, 1989","5,6",cpr,8,11,,,8,6,,8,,8,8,,7,,,,,,,,4,,,,,,,1,3,,,,,,1,,,8
senk,"Neef, 1989 lar",10,cpr/pla,5,10,2,,3,,2,1,,,4,1,1,,,,,,,3,,,,,,,,,,,,,,,,1,,5
sott,"Lisicyna, 1983",2,cpr,1,4,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1
taya,"Waines, 1973",5,cpr,2,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,2,,,,
taya,"Waines, 1973",6,cpr,9,11,,,,,,,,1,5,6,3,,,1,,,,,,1,,1,,,,,,,1,,2,3,2,,,
taya,"Waines, 1973","8,9",cpr,1,4,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,
daba,"Helbaek, 1972 tra",2,cpr,3,5,,,,,,2,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
daba,"Helbaek, 1972 tra",2,imp,1,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
wark,"Jacobsen, 1982",3,imp,1,2,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
wark,"Jacobsen, 1982",4,imp,3,2,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,
wark,"Gregor, 1987",?,cpr?,3,3,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3
wark,"Jacobsen, 1982",10,cpr,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
yar1,"Bakhteyev, 1980",2,cpr,5,4,,,,,,,,1,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
yar2,"Bakhteyev, 1980",3,cpr,7,3,,,,,,,,,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
yelk,"Costantini, 1985","6,7,8",cpr,30,7,,,,,,,,,29,15,15,,7,2,,,,,,,,,,,,,,,,,,,19,,,17
