site code,latitude,longitude,biblio code,amal per,presv,samp count,divrs,barley awn,barley lemma bases,barley rachis,culm nodes,f-t wheat rachis,gw glume bases,wheat indet rachis,cereal indet grain,barley grain,f-t wheat grain,gw grain,millet,oat grain,wheat indet gr,wild einkorn,caper,cucumber,date,fig,grape,hazelnut,olive,pear,pistachio,pomegranate,flax/linseed,sesame,bitter vetch,celtic bean,chickpea,common pea,grass pea,lentil,coriander,cumin,wild/weed
nimr,36.06,43.19,"Jacobsen, 1982",Neo Assyrian,imp,2,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nimr,36.06,43.19,"Helbaek, 1966 nimrud",Neo Assyrian,cpr,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
nine,36.24,43.08,"Jacobsen, 1982",Neo Assyrian,imp,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuff,32.1,45.11,"Jacobsen, 1982",Akkadian,cpr,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuff,32.1,45.11,"Jacobsen, 1982",Akkadian,imp,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuff,32.1,45.11,"Jacobsen, 1982",Neo Assyrian,imp,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuff,32.1,45.11,"Jacobsen, 1982",Akkadian,imp,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qerm,36.31,42.5,"Watkins, 1989",Geometric,cpr,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
qubu,33.2,44.2,van Zeist 1991,Neo Assyrian,cpr,11,4,0,0,0,0,0,0,1,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
qurt,35.2,45.5,"Helbaek, 1960 anc",Akkadian,cpr,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
sala,32.16,45.05,"Charles, 1989",Uruk,cpr,1,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sala,32.16,45.05,"Charles, 1989",E Dynastic,cpr,53,11,0,0,29,7,0,52,0,45,52,0,30,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,14,0,0,0,0,0,3,0,0,53
sala,32.16,45.05,"Charles, 1989",E Dynastic,cpr,8,11,0,0,8,6,0,8,0,8,8,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,8
senk,31.14,45.51,"Neef, 1989 lar",Neo Assyrian,cpr/pla,5,10,2,0,3,0,2,1,0,0,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
